id,source_row,store_name,naver_place_name,category,address,naver_road_address,first_image,naver_url
1127351030,327,(주)엔바이콘 판교순대,판교순대,한식,13487) 경기도 성남시 분당구 대왕판교로645번길 36,경기 성남시 분당구 대왕판교로645번길 36 NS홈쇼핑별관 지하 1층,https://ldb-phinf.pstatic.net/20260401_113/1775001957692l6vHV_PNG/%BB%EF%B0%E3%BC%F6%C0%B0%C2%F2.png,https://m.place.naver.com/place/1127351030/menu/list
1459038826,73,하동곰탕(화수분),하동곰탕다동북엇국,한식,13493) 경기도 성남시 분당구 판교역로 230 (삼평동) 지하 1층,경기 성남시 분당구 판교역로 230,,https://m.place.naver.com/place/1459038826/menu/list
1096319161,244,"맛남의광장한식뷔페(구,매드한식)_QR",맛남의광장 프리미엄 한식뷔페,한식뷔페,13524) 경기도 성남시 분당구 판교역로192번길 14-1 (삼평동) 판교예미지빌딩 1층,"경기 화성시 효행구 정남면 정남산단로 142-24 101호, 102호, 103호,108 호,109호",https://ldb-phinf.pstatic.net/20230908_114/1694159910239LvPIT_JPEG/KakaoTalk_20230908_165418323_04.jpg,https://m.place.naver.com/place/1096319161/menu/list
1967020590,93,해우리(판교점),해우리 판교점,한정식,"13530) 경기 성남시 분당구 판교역로 145 백현동, 알파리움2단지 지하1층 122호외",경기 성남시 분당구 판교역로 145 알파돔시티 2동 B1,https://ldb-phinf.pstatic.net/20220728_37/1658997095564lubw9_PNG/%C7%D8%C3%CA%B0%ED%B5%EE%BE%EE.png,https://m.place.naver.com/place/1967020590/menu/list
31396411,377,수작,수작,"해물,생선요리",13494) 경기도 성남시 분당구 대왕판교로 670  유스페이스2 B동 B115호 수작,서울 강북구 한천로 1173 1층 수작,https://ldb-phinf.pstatic.net/20250113_248/1736763488279sqWWU_JPEG/KakaoTalk_20250113_191614475.jpg,https://m.place.naver.com/place/31396411/menu/list
989058786,254,해도락,해도락,"해물,생선요리","13494) 경기도 성남시 분당구 판교역로 235  1층 130~132호(삼평동, 에이치스퀘어 엔동)",경기 성남시 분당구 판교역로 235 에이치스퀘어 엔동 1층 130-131호,https://ldb-phinf.pstatic.net/20241231_300/1735626777405onybU_JPEG/1000035668.jpg,https://m.place.naver.com/place/989058786/menu/list
38668100,304,마키노차야(판교점),마키노차야 판교점,해산물뷔페,"13530) 경기 성남시 분당구 판교역로 145 백현동, 알파리움2단지 B109호",경기 성남시 분당구 판교역로 145 알파리움타워 2동 라스트리트 B1층,https://ldb-phinf.pstatic.net/20260419_270/1776591639615E3gOY_PNG/%B8%DE%B4%BA.png,https://m.place.naver.com/place/38668100/menu/list
1978611044,388,신제주해장국(판교점),신제주해장국 판교점,해장국,13493) 경기도 성남시 분당구 판교역로 240 (삼평동) B-107호,경기 성남시 분당구 판교역로 240 A동 지하1층 B-107호,https://ldb-phinf.pstatic.net/20250309_55/1741488220081SK13I_JPEG/25-01-030117-3840.jpg,https://m.place.naver.com/place/1978611044/menu/list
1270378270,212,제주은희네해장국(판교점),제주은희네해장국 판교점,해장국,"13494) 경기 성남시 분당구 판교역로 231 삼평동, 에이치스퀘어 에스동  지하1층 B122,B123 호",경기 성남시 분당구 판교역로 231 에이치스퀘어 에스동 지하1층,https://ldb-phinf.pstatic.net/20210331_149/16171747097656xQdc_JPEG/-cTUpcxcQtgK77XI0b8KbyYI.jpg,https://m.place.naver.com/place/1270378270/menu/list
1178059229,162,리듬앤버거,리듬앤버거,햄버거,13524) 경기도 성남시 분당구 판교역로192번길 14-2 (삼평동) 2층 12호,"경기 성남시 분당구 판교역로192번길 14-2 2층 12호(삼평동, 골드타워)",https://ldb-phinf.pstatic.net/20240312_5/17102440226916O1q8_JPEG/new_rhythm.jpg,https://m.place.naver.com/place/1178059229/menu/list
33451326,146,맥도날드(동판교점),맥도날드 동판교점,햄버거,13525) 경기도 성남시 분당구 대왕판교로606번길 58 (삼평동) 맥도날드(동판교),경기 성남시 분당구 대왕판교로606번길 58 푸르지오월드마크 1층 맥도날드 동판교점,https://ldb-phinf.pstatic.net/20220708_127/1657245800032ACyys_PNG/1.png,https://m.place.naver.com/place/33451326/menu/list
37576885,141,맥도날드(판교테크노밸리점),맥도날드 판교테크노밸리점,햄버거,13494) 경기도 성남시 분당구 판교역로 231 (삼평동) 맥도날드(판교테크노밸리),경기 성남시 분당구 판교역로 231 H스퀘어 S동,https://ldb-phinf.pstatic.net/20220708_127/1657245800032ACyys_PNG/1.png,https://m.place.naver.com/place/37576885/menu/list
843434158,174,바스버거(판교테크노밸리점),바스버거 판교테크노밸리점,햄버거,13494) 경기도 성남시 분당구 대왕판교로 660 (삼평동) 지하1층 B128-3호,경기 성남시 분당구 대왕판교로 660 유스페이스1 지하1층 128-3 바스버거,https://ldb-phinf.pstatic.net/20260127_67/17695178989258pYyy_PNG/%BC%BC%C6%AE%29%B4%F5%B9%D9%BD%BA%B9%F6%B0%C5.png,https://m.place.naver.com/place/843434158/menu/list
1576755556,80,버거옥(판교역점),버거옥 판교역점,햄버거,13529) 경기도 성남시 분당구 판교역로 138 (백현동) 1층,경기 성남시 분당구 판교역로 138 1층,https://ldb-phinf.pstatic.net/20250601_6/1748704435299tqlsU_JPEG/%C7%C3%B7%A1%C6%BC%B3%D1%28%B4%F5%BA%ED%B5%EE%BD%C9%2B%B4%F5%BA%ED%C5%D9%B4%F5%29.jpg,https://m.place.naver.com/place/1576755556/menu/list
1168399901,310,버거온플릭_KIOSK,버거온플릭,햄버거,"13530) 경기도 성남시 분당구 판교역로 145 (백현동, 알파리움2단지) 2층 206호",경기 성남시 분당구 판교역로 145 라스트리트 2동 206호,,https://m.place.naver.com/place/1168399901/menu/list
34573564,293,버거킹(판교유스페이스점),버거킹 판교유스페이스점,햄버거,13494) 경기도 성남시 분당구 삼평동 대왕판교로 660 1층,경기 성남시 분당구 대왕판교로 660 유스페이스1,https://ldb-phinf.pstatic.net/20220107_92/1641518844447mLmln_PNG/%C5%B0%BF%C0%BD%BA%C5%A9%BF%EB-%C1%D6%B4%CF%BE%EE_%B9%F6%B0%C5-%C5%EB%BB%F5%BF%EC%BF%CD%C6%DB%C1%D6%B4%CF%BE%EE-%BC%BC%C6%AER.png,https://m.place.naver.com/place/34573564/menu/list
1933177351,87,브루클린더버거조인트(판교점),브루클린더버거조인트 판교점,햄버거,13529) 경기도 성남시 분당구 판교역로 166 (백현동) 1층 15호(백현동),경기 성남시 분당구 판교역로 166 카카오통합오피스 1층 15호,https://ldb-phinf.pstatic.net/20251229_220/1767019188601cUbxx_JPEG/MasiLab_0902_BK_034-1%C4%ED%C6%CE%BF%EB.jpg,https://m.place.naver.com/place/1933177351/menu/list
1261877961,39,텐버거(판교점),텐버거 판교점,햄버거,13493) 경기도 성남시 분당구 판교역로 240 (삼평동) 지1층 비-110호,경기 성남시 분당구 판교역로 240 지하1층 B119,https://ldb-phinf.pstatic.net/20260519_64/1779175005090mfzVp_JPEG/25180.jpg,https://m.place.naver.com/place/1261877961/menu/list
1494664120,82,패티바이번(판교알파돔타워점),패티바이번 판교알파돔타워점,햄버거,13529) 경기도 성남시 분당구 판교역로 152 (백현동) 1층 패티바이번,경기 성남시 분당구 판교역로 152 1층,,https://m.place.naver.com/place/1494664120/menu/list
